data;acao;preco
1;empresa_1;2,55
2;empresa_1;2,745
3;empresa_1;2,952
4;empresa_1;3,217
5;empresa_1;3,278
6;empresa_1;3,87
7;empresa_1;3,999
8;empresa_1;3,938
9;empresa_1;3,703
10;empresa_1;5,103
11;empresa_1;4,977
12;empresa_1;5,474
13;empresa_1;5,414
14;empresa_1;5,262
15;empresa_1;5,243
16;empresa_1;5,801
17;empresa_1;5,959
18;empresa_1;6,418
19;empresa_1;8,017
20;empresa_1;8,826
21;empresa_1;9,009
22;empresa_1;10,857
23;empresa_1;10,973
24;empresa_1;11,624
25;empresa_1;13,597
26;empresa_1;12,32
27;empresa_1;9,508
28;empresa_1;12,12
29;empresa_1;15,966
30;empresa_1;17,777
31;empresa_1;20,025
32;empresa_1;23,155
33;empresa_1;22,261
34;empresa_1;24,587
35;empresa_1;23,339
36;empresa_1;24,906
37;empresa_1;25,252
38;empresa_1;24,162
39;empresa_1;20,225
40;empresa_1;20,015
41;empresa_1;20,145
42;empresa_1;21,135
43;empresa_1;20,585
44;empresa_1;18,24
45;empresa_1;14,34
46;empresa_1;10,81
47;empresa_1;7,8
48;empresa_1;7,24
1;empresa_2;12,799
2;empresa_2;11,874
3;empresa_2;11,167
4;empresa_2;11,657
5;empresa_2;11,095
6;empresa_2;10,221
7;empresa_2;11,086
8;empresa_2;10,367
9;empresa_2;10,349
10;empresa_2;11,65
11;empresa_2;10,831
12;empresa_2;10,412
13;empresa_2;10,522
14;empresa_2;10,264
15;empresa_2;10,666
16;empresa_2;9,668
17;empresa_2;9,061
18;empresa_2;9,669
19;empresa_2;9,218
20;empresa_2;8,849
21;empresa_2;8,619
22;empresa_2;8,149
23;empresa_2;8,563
24;empresa_2;9,098
25;empresa_2;9,457
26;empresa_2;8,176
27;empresa_2;5,208
28;empresa_2;4,885
29;empresa_2;6,124
30;empresa_2;7,517
31;empresa_2;7,945
32;empresa_2;9,72
33;empresa_2;9,515
34;empresa_2;10,956
35;empresa_2;13,539
36;empresa_2;14,58
37;empresa_2;13,167
38;empresa_2;15,695
39;empresa_2;16,624
40;empresa_2;21,549
41;empresa_2;19,006
42;empresa_2;18,45
43;empresa_2;19,608
44;empresa_2;17,095
45;empresa_2;14,685
46;empresa_2;12,725
47;empresa_2;12,843
48;empresa_2;14,384
1;empresa_3;30,917
2;empresa_3;32,569
3;empresa_3;31,969
4;empresa_3;28,817
5;empresa_3;23,847
6;empresa_3;22,648
7;empresa_3;25,768
8;empresa_3;23,865
9;empresa_3;23,567
10;empresa_3;34,317
11;empresa_3;35,826
12;empresa_3;37,676
13;empresa_3;42,151
14;empresa_3;41,127
15;empresa_3;40,044
16;empresa_3;41,429
17;empresa_3;43,238
18;empresa_3;45,364
19;empresa_3;41,528
20;empresa_3;39,014
21;empresa_3;38,746
22;empresa_3;41,212
23;empresa_3;40,921
24;empresa_3;45,568
25;empresa_3;42,03
26;empresa_3;40,575
27;empresa_3;24,367
28;empresa_3;25,025
29;empresa_3;27,08
30;empresa_3;28,23
31;empresa_3;29,486
32;empresa_3;28,669
33;empresa_3;26,362
34;empresa_3;26,608
35;empresa_3;30,233
36;empresa_3;34,844
37;empresa_3;30,501
38;empresa_3;25,267
39;empresa_3;27,85
40;empresa_3;27,241
41;empresa_3;30,78
42;empresa_3;29,904
43;empresa_3;29,58
44;empresa_3;28,458
45;empresa_3;27,344
46;empresa_3;27,135
47;empresa_3;30,315
48;empresa_3;27,904
1;empresa_4;5,356
2;empresa_4;4,695
3;empresa_4;4,672
4;empresa_4;6,229
5;empresa_4;6,221
6;empresa_4;6,402
7;empresa_4;6,449
8;empresa_4;4,499
9;empresa_4;4,168
10;empresa_4;5,041
11;empresa_4;4,876
12;empresa_4;4,294
13;empresa_4;4,782
14;empresa_4;4,326
15;empresa_4;4,703
16;empresa_4;5,757
17;empresa_4;5,372
18;empresa_4;4,947
19;empresa_4;5,215
20;empresa_4;6,567
21;empresa_4;8,667
22;empresa_4;8,455
23;empresa_4;8,416
24;empresa_4;7,834
25;empresa_4;8,628
26;empresa_4;9,493
27;empresa_4;6,961
28;empresa_4;10,099
29;empresa_4;10,248
30;empresa_4;9,918
31;empresa_4;11,334
32;empresa_4;14
33;empresa_4;11,994
34;empresa_4;10,83
35;empresa_4;11,546
36;empresa_4;11,412
37;empresa_4;10,453
38;empresa_4;10,932
39;empresa_4;13,85
40;empresa_4;15,25
41;empresa_4;14,61
42;empresa_4;15,223
43;empresa_4;15,597
44;empresa_4;16,297
45;empresa_4;20,409
46;empresa_4;22,444
47;empresa_4;19,963
48;empresa_4;18,845
